trade_id,ts_utc,as_of,asset_id,ticker,side,action_tag,quantity,price,currency,quantity_unit,route,value_usd,fx_to_usd,price_usd,engine_realized_delta,reported_pnl,diff_engine_minus_reported,note,_s3_key,reported_pnl_usd,diff_engine_minus_reported_usd,abs_diff
20200615-f2f8245be60f78a8,2020-06-15T17:43:44Z,2020-06-15,EQH7c4faf2878658b6a,BA,BUY,close,5.0,189.4,USD,shares,SPOT,,1.0,189.4,5.649999999999977,5.65,-2.3092638912203256e-14,,engine/v1/trades/dt=2020-06-15/trade_20200615-f2f8245be60f78a8.json,,,2.3092638912203256e-14
20200612-2c0f5125e4867e41,2020-06-12T14:28:11Z,2020-06-12,EQHa4f8629695ec5c1c,SONY,BUY,close,8.0,68.34,USD,shares,SPOT,,1.0,68.34,0.39999999999997726,0.4,-2.275957200481571e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-2c0f5125e4867e41.json,,,2.275957200481571e-14
20200706-370cdc706e39334f,2020-07-06T14:43:44Z,2020-07-06,EQH0d7740f0c973d8fc,MSFT,BUY,close,5.0,209.63,USD,shares,SPOT,,1.0,209.63,0.6000000000000227,0.6,2.275957200481571e-14,,engine/v1/trades/dt=2020-07-06/trade_20200706-370cdc706e39334f.json,,,2.275957200481571e-14
20200612-542ce4c36c129455,2020-06-12T13:56:03Z,2020-06-12,EQHdb7aee8af0868213,TRV,BUY,close,8.0,114.36,USD,shares,SPOT,,1.0,114.36,2.3999999999999773,2.4,-2.2648549702353193e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-542ce4c36c129455.json,,,2.2648549702353193e-14
20200604-3cf4f37fad128856,2020-06-04T19:40:36Z,2020-06-04,EQH1193212f4e8bb727,AAL,BUY,close,48.0,16.65,USD,shares,SPOT,,1.0,16.65,11.04000000000002,11.04,2.1316282072803006e-14,,engine/v1/trades/dt=2020-06-04/trade_20200604-3cf4f37fad128856.json,,,2.1316282072803006e-14
20200610-e28b41e9f526faed,2020-06-10T14:30:12Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,75.0,16.27,USD,shares,SPOT,,1.0,16.27,5.250000000000021,5.25,2.1316282072803006e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-e28b41e9f526faed.json,,,2.1316282072803006e-14
20200630-ae341561725a4241,2020-06-30T19:53:55Z,2020-06-30,EQH0d7740f0c973d8fc,MSFT,BUY,close,9.0,203.85,USD,shares,SPOT,,1.0,203.85,-25.82000000000002,-25.82,-2.1316282072803006e-14,,engine/v1/trades/dt=2020-06-30/trade_20200630-ae341561725a4241.json,,,2.1316282072803006e-14
20200608-9c1a3701c6a31c14,2020-06-08T14:01:22Z,2020-06-08,EQH4839b80292843c6e,V,BUY,close,6.0,197.65,USD,shares,SPOT,,1.0,197.65,2.0400000000000205,2.04,2.042810365310288e-14,,engine/v1/trades/dt=2020-06-08/trade_20200608-9c1a3701c6a31c14.json,,,2.042810365310288e-14
20200611-fa8ea9bd5423f2ae,2020-06-11T14:29:54Z,2020-06-11,EQH1193212f4e8bb727,AAL,BUY,close,112.0,15.34,USD,shares,SPOT,,1.0,15.34,3.0400000000000205,3.04,2.042810365310288e-14,,engine/v1/trades/dt=2020-06-11/trade_20200611-fa8ea9bd5423f2ae.json,,,2.042810365310288e-14
20200610-2ead590a60bf975c,2020-06-10T14:35:10Z,2020-06-10,EQHcbf06d9dc587b847,AXP,SELL,close,8.0,107.22,USD,shares,SPOT,,1.0,107.22,2.480000000000018,2.48,1.8207657603852567e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-2ead590a60bf975c.json,,,1.8207657603852567e-14
20200610-1607afd5577f964b,2020-06-10T15:33:25Z,2020-06-10,EQHcbf06d9dc587b847,AXP,BUY,close,8.0,107.36,USD,shares,SPOT,,1.0,107.36,0.4800000000000182,0.48,1.8207657603852567e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-1607afd5577f964b.json,,,1.8207657603852567e-14
20200609-0d589a258182cae1,2020-06-09T19:12:32Z,2020-06-09,EQH7c4faf2878658b6a,BA,BUY,close,8.0,217.69,USD,shares,SPOT,,1.0,217.69,4.480000000000018,4.48,1.7763568394002505e-14,,engine/v1/trades/dt=2020-06-09/trade_20200609-0d589a258182cae1.json,,,1.7763568394002505e-14
20200610-bd04b030033265a7,2020-06-10T18:04:52Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,120.0,17.86,USD,shares,SPOT,,1.0,17.86,10.799999999999983,10.8,-1.7763568394002505e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-bd04b030033265a7.json,,,1.7763568394002505e-14
20200616-5d82b59cd530b751,2020-06-16T13:42:03Z,2020-06-16,EQH7c4faf2878658b6a,BA,BUY,close,5.0,203.63,USD,shares,SPOT,,1.0,203.63,10.450000000000017,10.45,1.7763568394002505e-14,,engine/v1/trades/dt=2020-06-16/trade_20200616-5d82b59cd530b751.json,,,1.7763568394002505e-14
20200612-3b6a9197f489485b,2020-06-12T16:33:34Z,2020-06-12,EQH1193212f4e8bb727,AAL,BUY,close,8.0,16.37,USD,shares,SPOT,,1.0,16.37,0.799999999999983,0.8,-1.709743457922741e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-3b6a9197f489485b.json,,,1.709743457922741e-14
20200605-d46f250df145d823,2020-06-05T19:40:16Z,2020-06-05,EQH1193212f4e8bb727,AAL,SELL,close,60.0,18.02,USD,shares,SPOT,,1.0,18.02,4.200000000000017,4.2,1.687538997430238e-14,,engine/v1/trades/dt=2020-06-05/trade_20200605-d46f250df145d823.json,,,1.687538997430238e-14
20200608-a9ffa6ba4c426535,2020-06-08T19:47:04Z,2020-06-08,EQH1193212f4e8bb727,AAL,BUY,close,60.0,20.07,USD,shares,SPOT,,1.0,20.07,-4.200000000000017,-4.2,-1.687538997430238e-14,,engine/v1/trades/dt=2020-06-08/trade_20200608-a9ffa6ba4c426535.json,,,1.687538997430238e-14
20200610-de1925fe78074175,2020-06-10T16:30:15Z,2020-06-10,EQH1193212f4e8bb727,AAL,BUY,close,60.0,17.27,USD,shares,SPOT,,1.0,17.27,4.200000000000017,4.2,1.687538997430238e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-de1925fe78074175.json,,,1.687538997430238e-14
20200611-eaca18273c7e60f9,2020-06-11T19:01:46Z,2020-06-11,EQH1193212f4e8bb727,AAL,BUY,close,30.0,14.39,USD,shares,SPOT,,1.0,14.39,3.299999999999983,3.3,-1.687538997430238e-14,,engine/v1/trades/dt=2020-06-11/trade_20200611-eaca18273c7e60f9.json,,,1.687538997430238e-14
20200611-dd6b8daf96627484,2020-06-11T19:22:41Z,2020-06-11,EQH1193212f4e8bb727,AAL,BUY,close,30.0,14.28,USD,shares,SPOT,,1.0,14.28,4.200000000000017,4.2,1.687538997430238e-14,,engine/v1/trades/dt=2020-06-11/trade_20200611-dd6b8daf96627484.json,,,1.687538997430238e-14
20200615-2505a52edd11d791,2020-06-15T16:03:41Z,2020-06-15,EQH5122ffa0bc04e875,RCL,BUY,close,12.0,59.49,USD,shares,SPOT,,1.0,59.49,-7.200000000000017,-7.2,-1.687538997430238e-14,,engine/v1/trades/dt=2020-06-15/trade_20200615-2505a52edd11d791.json,,,1.687538997430238e-14
