asset_id,display_symbol,ticker,yahoo_ticker_norm,name,asset_class,region,n_total,n_weekday,n_weekend,nan_frac_total_calendar,nan_frac_weekday_only,max_abs_return,passes_current_25pct_calendar_nan,passes_40pct_calendar_nan,passes_weekday_25pct_nan,passes_min_1000_obs,passes_min_1260_obs
EQH28bf88d6cc06554d,TM,TM,,Toyota Motor Corporation,equity,NYSE,1824,1303,521,0.0,0.0,0.13641971349716187,True,True,True,True,True
EQH28c2bbeb5ac9b6f6,TSEM,TSEM,,Tower Semiconductor Ltd.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.4207666218280792,True,True,True,True,True
EQH28d9da5401ed0274,PROX.BR,PROX,,Proximus S.A.,equity,Cboe Europe,1824,1303,521,0.0,0.0,5.051579475402832,True,True,True,True,True
EQH28f38790ee96eca1,ENGI11.SA,ENGI11,,Energisa S.A.,equity,B3,1824,1303,521,0.0,0.0,0.07971703261137009,True,True,True,True,True
EQH29124938bcad47f1,IG,IG,,Italgas SpA,equity,Cboe Europe,1824,1303,521,0.0,0.0,0.8312508463859558,True,True,True,True,True
EQH292ab1af04a7222e,WALMEX.MX,WALMEX,,Wal-Mart de México,equity,BMV,1824,1303,521,0.0,0.0,9.251984596252441,True,True,True,True,True
EQH292e98f793cf5652,CAE,CAE,,Cae Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.20146313309669495,True,True,True,True,True
EQH294306ca81315dff,FHI,FHI,,Federated Hermes Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.0813954547047615,True,True,True,True,True
EQH294db1b5f8a7179e,CVLT,CVLT,,CommVault Systems Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.23961445689201355,True,True,True,True,True
EQH294db803ee1be0a0,BHIA3.SA,BHIA3,,Grupo Casas Bahia S.A.,equity,B3,1824,1303,521,0.0,0.0,0.36056840419769287,True,True,True,True,True
EQH296dcffb137ce991,CLX,CLX,,Clorox Co,equity,NYSE,1824,1303,521,0.0,0.0,0.1447320133447647,True,True,True,True,True
EQH2975928d8c997cfd,GPI,GPI,,Group 1 Automotive Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.10957583039999008,True,True,True,True,True
EQH2975ec323a9886df,BG,BG,,Bunge Global SA,equity,NYSE,1824,1303,521,0.0,0.0,0.14476433396339417,True,True,True,True,True
EQH2979912a756aa726,ISRG,ISRG,,Intuitive Surgical Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.14336153864860535,True,True,True,True,True
EQH29882b9b27735437,PBR,PBR,,Petróleo Brasileiro S.A.,equity,NYSE,1824,1303,521,0.0,0.0,0.12641803920269012,True,True,True,True,True
EQH2993407c508180e4,MKC,MKC,,McCormick & Co Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.10523326694965363,True,True,True,True,True
EQH29aa583ced48809a,TSM,TSM,,Taiwan Semiconductor Manufacturing,equity,NYSE,1824,1303,521,0.0,0.0,0.13327017426490784,True,True,True,True,True
EQH29c0ab492c56077b,DRVN,DRVN,,Driven Brands Holdings Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.4115369915962219,True,True,True,True,True
EQH29e201861c98fdb1,PG,PG,,Procter & Gamble Co,equity,NYSE,1824,1303,521,0.0,0.0,0.062322113662958145,True,True,True,True,True
EQH2a0de4183ae9e0bb,ENPH,ENPH,,Enphase Energy Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2573436200618744,True,True,True,True,True
EQH2a20d4974ebd0424,AZTA,AZTA,,Azenta Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.29188981652259827,True,True,True,True,True
EQH2a36c1d714e7b9dc,O,O,,Realty Income Corp.,equity,NYSE,1824,1303,521,0.0,0.0,0.056734733283519745,True,True,True,True,True
EQH2a45450cfa9ab283,ATE.PA,ATE,,Alten S.A.,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.08561897277832,True,True,True,True,True
EQH2a4f3f12492150dd,FN,FN,,Fabrinet,equity,NYSE,1824,1303,521,0.0,0.0,0.3158075511455536,True,True,True,True,True
EQH2a55e053f0f524a5,SRPT,SRPT,,Sarepta Therapeutics Inc,equity,NASDAQ,1824,1303,521,0.0,0.0,0.42122718691825867,True,True,True,True,True
EQH2a6ef2e835632dd8,RBI.VI,RBI,,Raiffeisen Bank International AG,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.910317897796631,True,True,True,True,True
EQH2a87b0e39e97886d,ARGX,ARGX,,argenx SE,equity,NASDAQ,1824,1303,521,0.0,0.0,0.27790969610214233,True,True,True,True,True
EQH2aaf3143a57150d7,GPC,GPC,,Genuine Parts Company,equity,NYSE,1824,1303,521,0.0,0.0,0.2096841037273407,True,True,True,True,True
EQH2aafb527cc48416b,EXC,EXC,,Exelon Corp,equity,NASDAQ,1824,1303,521,0.0,0.0,0.07560976594686508,True,True,True,True,True
EQH2ab4f316d0718005,EN.PA,EN,,Bouygues S.A.,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.089478015899658,True,True,True,True,True
EQH2acf28bb4bfddeb7,NBIX,NBIX,,Neurocrine Biosciences Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.18872500956058502,True,True,True,True,True
EQH2b199ec72c6c524c,BILI,BILI,,Bilibili Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.475609689950943,True,True,True,True,True
EQH2b1f57c964146af2,BWA,BWA,,BorgWarner Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.1306925266981125,True,True,True,True,True
EQH2b2b949f9faea6ee,UQA.VI,UQA,,UNIQA Insurance Group AG,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.103212833404541,True,True,True,True,True
EQH2b30224c9f59dec0,RHI,RHI,,Robert Half International Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.11137484014034271,True,True,True,True,True
EQH2b4678d7ca6f5ff4,WAB,WAB,,Westinghouse Air Brake Technologies Corp.,equity,NYSE,1824,1303,521,0.0,0.0,0.10035032033920288,True,True,True,True,True
EQH2b4e3ae891b64259,IX,IX,,ORIX Corporation,equity,NYSE,1824,1303,521,0.0,0.0,0.08547849208116531,True,True,True,True,True
EQH2b5ef41ec12f14bc,MMS,MMS,,Maximus Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.37716758251190186,True,True,True,True,True
EQH2b687a6a8ec55c0b,LYFT,LYFT,,LYFT Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.3643649220466614,True,True,True,True,True
EQH2b7d0c4822497cc2,YELP,YELP,,Yelp Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.18378709256649017,True,True,True,True,True
EQH2b92e42e3fba1078,MIDD,MIDD,,The Middleby Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.18250295519828796,True,True,True,True,True
EQH2b9beae675b7cb04,LNT,LNT,,Alliant Energy Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.05381643399596214,True,True,True,True,True
EQH2bc1dc5575bca403,APH,APH,,Amphenol Corporation,equity,NYSE,1824,1303,521,0.0,0.0,0.12566402554512024,True,True,True,True,True
EQH2be2db421f416778,ERG.MI,ERG,,ERG SpA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.037589073181152,True,True,True,True,True
